en	kana	kanji	空念	八雲	長万部	幌別	平取	貫気別	新冠	様似	帯広	釧路	美幌	旭川	名寄	宗谷	落帆	多蘭泊	真岡	白浦	ライチシカ	内路	沙流	千島	占守	幌筵	南千島	弥満別	白浜	新問	多来加	智来	鵜城	根室	千歳	屈斜路	近文	穂別	礼文	足寄	天塩	虻田	白老	富内	春採	十勝	鵡川	有珠	白糠	静内	日高	虹別	荻伏	浦河	斜里	阿寒	伏古	厚真	北見	網走	室蘭	白主	高島	広尾	相浜	芽室	塘路	布伏内	江部乙	萩野	白人	幌満	択捉	音更	高江	三石	藻琴	豊浦
funnel	じょうご	漏斗		conko		conko					coŋo,[日本語]		ない	ない	ない	ない					ない		conko																																																							
sieve,sifter	ふるい	ふるい		koorosi		ituytuyep					tosi,kotosi,(沙に同じ)		ない			昔はなかったらしい					kooounposore,orunpe		tosi,kotosi,(粉をふるう)																																																							
winnow,sieve	み	箕		muy,,ituytuyep							muy			muy	muy						ipahseka,niisos		muy,,tuytuye,《箕でごみをとばす》																																																							
basket	かご	籠		saranip(主として背負う.,ブドウ・オヒョウの皮で作るリュックのような物),kanko(竹の)		kanko,saranip(木の皮を編んで作った袋状の物)					saranip		saranip	saranip(幌に同じ.,背負ったり下げたりする),karop(handbag,shoulderbag,のようなもの)	saranip(幌に同じ.,一種の手さげ袋)	saranip(幌に同じ)					nitushi,saranis,-pihi,[老]		saranip《方言：こだし》(幌に同じ),tekko(竹の)																																																							
bag,sack	ふくろ	袋	pukuru	pukuru		pukuru					pukuru	karup《袋物》,saranip《小出し、編み袋、手さげ袋》	pukuru		pukuru	itosep(布(usep)で作る.,toma等乾した物を入れる)					kinci,pukuru<<ニシンを入れる大袋>>,itoyuskah,-puhu[老]		pukuru		ceptawa(大きな袋),tapar(袋)																																																					
box,case	はこ	箱	suwop	suwop		suyop					supop,,hako	matsipop《筥迫(はこせこ)》	sipop	supop(カンビ(白樺)で作る.,刀が入るくらい長い.,大事な物を入れる)	supop	suwop(玉を入れる),karawto《kosonte,等入れる行李のような物》					ない,haku,,sipoh,-pihi(木製),inumoro(枕にする)		suwop		shubop(149)																																																					
cover,lid	ふた	蓋		puta		puta					puta	puta(蓋)	puta	puta	kamup	puta					puta		puta,(-ha)																																																							
mortar,hand-mill	うす	臼		nisu		nisu					nisu	nisu(臼(うす)),nisuhuci(臼(うす))	nisu	nisu	nisu	nisu					niisu		nisu		無し(148)																																																					
wooden,pestle,pounder	きね	杵		iyutani		iyutani					iyutani	ihutani(杵(きね)),iyutani(杵(きね))	iutani	iutani	iutani	iyutani					yuutaanii(両手で使う),iniinah,-puhu(片手で)		iyutani		無し(148)																																																					
chopsticks	はし	箸	pasuy	pasuy,ipepasuy		(ipe-)pasuy					pasuy	ipepasuy(箸(はし)),pasuy(箸(はし))	pasuy	pasuy,ipepasuy	pasuy,cieypepasuy	pasuy					sahka		pasuy		euturumbe(箸148)																																																					
drink-stick,[to,keep,mustaches,out,of,drinks]	さかばし	酒箸		kamuynomi,pasuy								ikupasuy(神に酒を献ずるときに使うへら(奉酒箸))		ikupasuy	ikupasuy	ikupasuy					ikuunis,-pihi		ikupasuy																																																							
spoon	さじ	匙		perapasuy		parapasuy					parapasuy		parapasuy	parapasuy,(sayo,を食べる時に使う)	parapasuy	pera					ponpera		aeypepera		pashui(匙,148),pasuy(スプーン)		pasuy(スプーン)																																																			
rice,paddle	しゃもじ	杓文字		pera,,amampera,,sakepera		pera					pera	epera(大へら),kasup(しゃもじ)	pera	pera,,suke,pera	cieskep,,kasup	pera,,amam,pera					(amam,nise),pera		pera																																																							
ladle	しゃくし	杓子	kasup	kasup		kasup					kasup	kakkum(柄杓(ひしゃく)),kasup(しゃもじ),pisaku(酒汲みひしゃく)	kasup	kasup	cieskep,,kasup	kasup					kasuh,-pihi		kasup		kakkum《スクープ》																																																					
dipper	ひしゃく	柄杓		pisaku,wakkakup		pisakko					pisaku,nitus	kakkum(柄杓(ひしゃく)),pisaku(酒汲みひしゃく)	kakkum,pisaku,(酒を汲む)	nituspe	pisaku,nituspe	kakkum,(カンビの皮で作る)					kahkumhi		pisakku		kakkum《スクープ》																																																					
handle	え	柄		nit,-ci,,ni,(鍬等の)		nit,-ci					nit,-ci		nit,-ci	nit,-cihi	nit,-ci	nit,-cihi					nis,-cihi		nit,-ci																																																							
dish-towel	ふきん	布巾		ない							ない		ない	ない	あるにはあるが名はない	忘れた					oypepiripah,-puhu		ない																																																							
dust-cloth,dust-mop	ぞうきん	雑巾		ipirup		cokin,,itapirup								ない	ipirpap	ない.,厚司のくずで拭いて棄ててしまう					ipiripah,-puhu		itapirup(床を拭く),,urepirup(足を拭く)																																																							
broom	ほうき	箒		sinnuwep,,sonuwep,,sokanuwep		munnuyep,,munuyep					sokanuyep		sokanuyep	muysaptep,(ブドウ蔓で作った)	muysaptep,,munnuwep	muysankep					munsankeh,-pihi		munnuwep		shutuituip,(148)																																																					
small,knife	こがたな	小刀	epirkep	ponmakiri		makiri					makiri,tasiro	makiri(小刀)	makiri	makiri《小刀》,tasiro《山刀》	makiri,epirkep(ニシンを裂くのに使う)	makiri(魚を切る.,男用.,帯にさす),epirkep(女用),tasiro《山刀》					ponmakiri,tasiro,は《なた》		makiri,tasiro,(-ho)は《短剣》(腰に下げる.,山を歩く時笹を切る.,また熊も殺す)		eperaniki(147),epira(小さなナイフ)		epira《ナイフ》																																																			
butcher,knife	ほうちょう	包丁		hoyco,,makiri		hoyco					hoco	makiri《小刀》	makiri	makiri,,epirikep《ニシン裂きに使うような小刀》	makiri,,epirkep,(ニシンを裂くのに使う)	ない,makiri(魚に用いる。男用),epirkep,(女用)					ekirikeh,-pihi,(epiripeh,は真岡・白浦方言)		hoyco,(でば),makiri,(肉切り)				epira《ナイフ》																																																			
scissors,shears	はさみ	鋏		saranpeca,makiri		hasami,saranpecamakiri					hasami,[日本語]	apeukni《火ばさみ(木製)》	昔はなかった.,みな,makiri,で切る	使用しない.,すべて,epirkep,を使う	ない,epirkep《ニシンを裂く小刀》	hasami					ituyekaani		hasami,[日本語],saranpekarpe,(布を裁つ,かみそりのような)		ikuyepira(はさみ)																																																					
sword	かたな	刀	emus	emushi,emustam,tam		emus					emus	emus(剣(つるぎ)、刀(かたな)),tam(刀(かたな)、太刀(たち)),tamkur(太刀,(たち))	emus	emus	emus	emus,tannep,(兵隊の)					emushi		emus,otam,(昔の巡査の)		emush,(蝦夷アイヌ語なりと云ふ,148)		epira《ナイフ》																																																			
sickle	かま	鎌	iyokpe	iyokpe,,hutci,emus		iyoppe					ioppe		iyokpe	iyoppe	ioppe	iyoppe					moositamhi~-uhu		iyokpe		moshitam,(148)																																																					
hoe	くわ	鍬	kupka	kupka,(耕す),tonka,[日本語]		kupka,《方言：とんが》					kupka	toytakani(鍬(くわ))	toytakani	tonka	tonka,(耕すための.,最近時々使う)	ない,tonka,はこのごろ入った					toytaakaani		kupka,(畝を作る),tonka,(耕す)																																																							
broad-axe	まさかり	鉞		mukar		(niperpa-)mukar					mukar		mukar	mukar	mukar	mukar					mukara		mukar				mukar《斧》																																																			
axe	おの	斧		hanpir		hanpiro					ponmukar		ponmukar	mukar	mukar	panco,mukar					mukara		pancomukar				mukar(斧)																																																			
hatchet	なた	鉈		nata,tasiro《山刀》(鉈の代り)		nata,mukar					nata[日本語?]	tasiro(タシロ、なた)	ponmukar	ponmukar《手なた》	ponmukar,nata	nata[日本語]					tasiro		ない,ponmukar《"手まさかり"》				mukar《斧》																																																			
cutting,edge	は	刃		notak		notak					notak		notak	ipehe,,notak	notak	notakhu					notah,-kuhu		notak,,ipe,(-he),《刀身》																																																							
to,whet,(it)	とぐ	研ぐ		ruyke		ruyke					ruyke		ruyke	ruyke	iruyke,,ruyke	iruyke					iruyke,,siru		ruyke																																																							
whetstone	といし	砥石		ruy		ruy					ruy		ruy	ruy	ruy	ruy					ruy		ruy		rui(149,168),ruyaratu(砥石)																																																					
saw	のこぎり	鋸		noko		noko					noko		ない	ない	noko	noko					icaacah,-puhu		noko																																																							
awl,drill	きり	錐		ikisakani		ikisakani					ikisakani		ikisakani	ikisakani	ikisakani	ikisap					ikisah,-puhu,,ikisakaani		ikisakani																																																							
nail,peg	くぎ	釘		kunki,,sikay,(竹の),nisikay,(木の)		kunki,,sikay,,topsikay,(竹の),kanisikay,(金の)					kuŋi,[日本語]		ない,cikay,(木の)	ない	ない	sikay,,top,,(竹の),ni,,(木の),kani,,(金の)					kunki(木の),sikay(金の)		kunki,,sikay,《めくぎ》		gapkapa(釘),skay(釘),skaptar(釘)																																																					
large,wooden,hammer	つち	槌		tuci		tutci					tuci		tuci	akitni,(大きい.,杭を打つ)	akitni,《方言：かけや》	tuci					itah,-puhu,,tuuci,[老]		tuci		kanapap《ハンマー》																																																					
hammer	かなづち	金槌		kanetuci		kanitutci					kanetuci		ない,kanituci,[新]	ない	ない						ponitah,-puhu		kanetuci		kanapap《ハンマー》																																																					
D.,spear	やり	槍	op	op,peraop,(三叉の)		ipeop,op,は《ほこ,柄》,opipe,《槍先》					op	op(槍(やり)),paraop(大身の槍(おおみのやり))	op	op,《やすの柄》,pinne,,(男の),matne,,(女の)	op	op					yoomah,-pihi,oh,-pihi,《やすの柄》		op																																																							
bow	ゆみ	弓	ku	ku,-we		ku					ku,-ye	ku(弓)	ku	ku	ku	ku					kuu		ku,(-hu),ku,-weは<<あまっぽ>>		ku(147),chia,ni,ku(161),caniku(弓)																																																					
arrow	や	矢	ay	ay		ay					ay	ay(矢),ciros(花矢(イヨマンテの時に使う))	ay	ay	ay	ay					ay		ay		ai(147,157),carkay,?<,carkay《小さなショット》																																																					
gun	てっぽう	鉄砲	teppo	hecawe,kani,,teppo		teppo,[日本語]					teppo,[日本語]		ない	teppo	teppo	teppo,[日本語]					ない,,tehpo		teppo,[日本語]		kamuy,ku(銃),carkay,?<,carkay《小さなショット》		teppo(銃)																																																			
bullet	たま	弾		tama		tama,[日本語]					teppotama,[日本語]		ない			tama,[日本語]					tama		teppotama,[日本語]																																																							
armor	よろい	鎧		hayokpe,(-he),tumi,hayokpe		hayokpe					ない		ayoppe(実在しない.,ユー,カラ,サコルペのみ)	hayoppe(N,H,ともに"見たことはない")	ayoppe	hayoppe,kanipunkasa《かぶと》					kusari,hayuḥpe,は《かみしも》		hayokpe(実在しない.,ユーカラに出る)		kani,haiyokupe(Yam-guru,は之を着て我等と戦ひたる事あり,148)																																																					
net	あみ	網	ya	ya,yasya,(川を下る魚をすくう)		ya					ya	yara(網)	ya	ya,yasya《流し網》,urayya《袋網》	ya,yasya《流す網》,otasya《袋網》,cie-tayya《引網》,ciamaya《さす網》	ya					yaa		ya,(魚獲用),yas《流し網する》		ya,(綱[ママ.,網の誤植か？]172),yau-kot(ネット)																																																					
rope	つな	綱	harkika		tus,tus	tus	tus,tus	tus	tus	tus	cus	tus,tus	tus,harika(縄(なわ)),tus(綱(つな))	tus,tus	tus,tus	tus,tus	tus,tus	kayta	tus	tus	kayta	kayta,kayta,ruwekaa,[老]	serus,kaa	tus		haitush,(148),aytus(ロープ)																					
straw,rope	なわ	縄		harkika		harkika					tus,harkika,は《なう》	harika(縄(なわ)),tar(縄、荷縄、背負い縄),warikika(縄(なわ))	tus,harkika,(シナの皮製)	harkika	harkika	harikka					harikikaa		harkika		aytus(ロープ)																																																					
string,cord	ひも	紐		ka(細い),at(何かについている),numat(ちゃんちゃんこ等の)		at					ka,atu(八に同じ)	at(木の皮の糸),tar(縄、荷縄、背負い縄),torara(皮ひも)	ka,at	kut,atuhu(八に同じ),ka(→71)	ka,atu(八に同じ)	numat,ane,pon,kut《細帯》					pousruu,atuhu《つけひも》,aane,pon,kuh《腰紐》		ka,at(八に同じ),aneponkut《腰紐》,numat《女の着物の懐のつけ紐》		isinap《弦》																																																					
thread	いと	糸		ka,(-ha)		nuyto,kana《木綿糸》					nuyto	at(木の皮の糸),ka(糸),nuyto(糸)	nuyto	nuyto	nuyto	niwto					kaa,(一般),suu̱kaukakaa《縫い糸》		nuyto		ōka,(露西亜語なり,149.,服部註:,金銀の絹糸をチュルク語で,oka),oka,(160),oka(糸)																																																					
yarn	あむいと	編む糸		ka,(-ha)		ka					ka	at《木の皮の糸》,ka《糸》,nuyto《糸》	ka	ka,(at,をよって作る),katak,《ka,をつないで玉にした物》	ka						yoskekaa		ka,(-ha),(at《オヒョウニレの皮》,nipes《シナの皮》から作る)																																																							
needle	はり	針		kem		kem					kem	kem(針)	kem	kem	kem	kim					kemhi		kem		kem(針),kemikir(針)																																																					
pole,club	ぼう	棒		ni		ni,op,ukanni《棍棒》,situ(-ni)《》					ni,kuma(物干竿)		turi	ni,situ《“はたく”,棒》,nirukum《丸太》(3-4尺.,直径4寸位)	turi(太く長い)	kuwa					nii		ni,kuma(物干竿),nihum《丸太》																																																							
a,club,to,hit,fish,with	さかなのあたまをたたくぼう	魚の頭を叩く棒		nitakup,(鮭の)		isapakikni								ipakitni		isapatani,(カジカの)					isapataanii,(カジカの)		isapakikni,(鮭の)																																																							
stick,[of,wood]	ぼうっきれ	棒っ切れ		(ni-)rukum,,nihum		nihum					ni		nihum	nirukum(《丸太》も)	sakma,《細い木から枝をはらった物》	nirukum					niirukumhi		niuype,,nirukum,《切った棒》																																																							
chip,of,wood	きぎれ	木切れ		ras《屋根等ふく割木》,nikoppa		nihum,ras					niuype《木屑》,koppa《けずったかす》,niras	niras(木片、板)	niapkirpe,niuype《こっぱ》	niras《こっぱ》(大),(ni),uype(-he),《木屑》(小)	niuype(比較的大きな),nikokera(細かい)	nirukum					niitoh,-kihi,《方言：とんころ》,niirashu,《こっぱ.,方言：ちゃっぱ》		niras《わりは》,niuype《木屑》,koppa[日本語]《けずったかす》		nii(木片)																																																					
stake	くい	杭		ikuspe,,tuntu,,urayni,(旭に同じ)		ikuspe,,tuntu,《たい枕》					ikuspe,,urayni,(旭に同じ)		ikuspe,,urayni,(旭に同じ)	urayni,《魚をとるため川に立てる杭》	urayni,(旭に同じ)	urayni					tuntu,(《柱》も)		ikuspe,,urayni,(旭に同じ)		urai,(ヤナ(魚を取る),170)																																																					
cane,walking,stick	つえ	杖		kuwa		kuwa,(-ha)					kuwa	kuwa(杖(つえ))	kuwa	kuwa(一般),kimkuwa(狩に行く時使う.,長く太くて雪中にさしこんで鉄砲や荷物をひっかける)	kuwa	kuwa					kuwa,kuwakoro<<杖をつく>>		kuwa,(-ha)(<<墓標>>も.,墓標は死者の杖と考えられている)		top(杖)																																																					
(bamboo),pole	さお	竿		(isatke),kuma,(物干用),sakir,(ニシンを干す)		kuma,isatkekuma,sikir					kuma,《物を干す木の棒》	kuma《もの干しさお》,sakir《物干竿(ものほしざお)》	kuma,(魚を干す),isatkeni,(着物を干す)	kuma,《物干竿》	turi,(舟のも),kuma,(魚を干す)	turi,kuma(四角に組んで魚を干す所)					sawa		kuma,(帯に同じ),naya,《魚干場》		kuma(物を乾す竿,162)																																																					
tube,pipe	くだ	管		suyoni							ない		ない	suyoni	ない						osewanii,,osuyoonii,[老]		ない		kiseri(パイプ)		kiseri(パイプ)																																																			
board	いた	板		ita		ita					ita	niras(木片、板)	niras	ita,は《お盆》,nisos,は《雷で裂けて薄くなった木》	ita	ita					niisoshi		ita,,nisos		ita(ボード),ity—kir(ボード)																																																					
gong	かね	鐘		ratki,kani										ない	ない	ない					konko		ない		gaqukikani(ベル)																																																					
jingle,bell	すず	鈴		cirpo,etor,(rimse,を踊るとき帯につける)		etor							etor	ない	ない	konko					ponkonko~pon,konko		ない,cirpo,は,[雅]《小鳥》		gaqukikani《ベル》																																																					
treasure	たからもの	宝物		ikor,cikosinninup《山で授かり,他人には見せない秘密の物》		ikor					cikosininup,ikor,はもと《刀》今《おかね》	ikor(宝、宝物)	ikor,cikosinninup(八に同じ)	ikor(刀(中はたけみつ),emus(日本刀.,中は本物),sintoko,等)	ikor	ikonnep,ikor					caamah,-puhu		ikor(狭義には刀剣類の),iyoype(食器関係の),cikosinninup《人に知らせず大切に隠して代々伝えるお守り(例えば竜の角)》																																																							
mirror	かがみ	鏡		kankami,yaykurnukarkani,kurnukarpe,itomkap		yaykunnukarpe					ない		yaykunnukarpe	ない,もとは白樺の樹皮で作った,nitus,に水をはって用いた	ない	ない					ない.,水に顔をうつす,yaykunnukara,orunpe		kankami,yaykunnukarpe,[古]		yaynukarkane(鏡)																																																					
comb	くし	櫛		kiray		kiray					kiray	kiray(櫛(くし)),pakekiray(櫛(くし))	kiray	kiray	kiray	kiray					kiray		kiray		kiray(櫛),kiraykir(櫛)																																																					
lacquer	うるし	漆		ussi		ussi					usi		hupsi	ussi,-hi	ussi	ussi					usi		ussi																																																							
paste,glue	のり	糊		nunpe,(魚の皮を煮て作る)		nunpe,(魚の皮をかんで作る),amamnunpe《米糊》					nunpe《にかわ》		nunpe《にかわ》	nunpe,cep,nunpe,(魚の頭,あご等を乾して煮つめて作る)	nunpe,(yupepise,《川ザメのうきぶくろ》を煮つめて作る)	ない,nunpe,(魚の皮で作り,何でもくっつける)					nunpe		nunpe《にかわ》(魚の皮から作る)		numpeetoy《ペースト》,retatoj《ペースト》																																																					
to,make,to,manufacture	つくる	作る		kar		kar					kar	inawke(木幣を作る),kar(･･･を作る、造る),karkur(作った人),karpe(造った物、作品),yaykokarkar((自分のために)作る)	kar	kar	kar	kar					kara		kar		kure(116),ikaran(160),kar(私は作ります)																																																					
to,hold	もつ	持つ		ani(一つの物を)	ani(一つの物を)	ani(一つの物を)	ani(一つの物を)	kisma(?)	ani	ani	ani	ani,ani(･･･を持つ),anpa(･･･を持つ),kor(･･･を持つ、所有する、領有する、･･･の(所有を表わす)),korkur(持つ人、持主、所有者),korpe(持つもの、持つ人、持主、所有者)	ani	ani	ani	ani	aɴpa	anpa	anpa	anpa	anpa	anpa																																																								
to,seize,to,grab	つかむ	摑む		kisma		kisma,esikari<<摑みとる>>					okakisma	okanpa(･･･を捕まえる、つかむ、握る、押さえる)	okanpa	kisma	kisma	kisma					kisma		kisma		ironan(彼/彼女はキャッチする)																																																					
to,carry	はこぶ	運ぶ		rura		anpa,wa,rura					rura	koani(･･･を運ぶ、･･･に運ぶ(手に持って)),rura(･･･を運ぶ)	rura	rura<<持って行って返す,届ける>>	rura	rura,irura					ruura		rura																																																							
to,rub	こする	擦る		sirusiru	sirusiru	sirusiru,siru	sirsiru	sirsiru	sirsiru	surisuri	sirusiru	sirusiru,kosiru(･･･を擦る(こする))	sirusiru,siru	sirusiru	sirusiru	sirusiru	sirusiru	sirusiru	sirusiru	sirusiru	sirusiru	(ko)sirusiru																																																								
to,squeeze	しめつける	締めつける		nunpa	nunpa	nunpa	nunpa	yuppa,nunpa(しぼる)	nunpa	nunpa	nunpa	nunpa	nunpa	nunpa	nunpa	nunpa	nunpa	nunpa	nunpa	nunpa	nunpa	nunpa																																																								
to,push	おす	押す		oputuye	oputuye	oputuye	oputuye	oputuye	oputuye	opucuye	oputuye	oputuye	oputuye	oputuye	opituye	opituye,eaciw	okacituypa	eaciw	eaciw	okacituypa	okasura	okaapituye			rarpa(プレス,),sirkorrari(一度押す（そして離す）)																																																					
to,shove	おしずらす	押しずらす				rutu					rutu		rutu	rutu							cahseka		rutu																																																							
to,pull	ひっぱる	引っ張る		etaye	etaye	etaye	etaye(静かに),ehekem(急に)	etaye	etaye	etaye	etaye	etaye,nini《･･･を引きずる》,ninpa《･･･を引きずる》	etaye	etaye	etaye,ehekem	ehekem	ehekeɴ	ehekem	ehekem	ehekem	ehekem	ehekem			ekim(引く),etai(引き抜く),tosir(引く,)																																																					
to,roll,(over)	ころがる	転がる		karkarse							karkarse	karkarse(転がる)	karkasse	karakasse							karakahse(コロコロと)		karkarse																																																							
to,throw	なげる	投げる		eyapkir	eyapkir	eyapkir	eyapkir	osura(棄てる？)	eyapkir	eyapkir	eyapkir	eyapkir,koeapkir《投げつける》,ukoyapkir《･･･を一緒に投げる》	eapkir	osura	osura,eak	osura,eyak(遠くへ)	ociipa	ociipa	ociipa	eah	ociwe	ocipa			kociwe(私は投げた),ociwe(投げる,),ociwpa(投げる),ociwe(投げる)																																																					
to,split	さける	裂ける		yaske	yaske	yaske	yaske	yaske	yaske	soske	soske	soske	soske	soske	soske	soske	naske	naske	soske	soske	naske	naske																																																								
to,cut,it	きる	切る		tuye	tuye	tuye	tuye	tuye	tuye	cuye	tuye	tuye,ca(･･･を切る、切り取る),cakka(･･･を刎ねる(はねる)、(首を)切る),otuypa(を切る、刈る(草などを)),tuwe(･･･を切る),tuye(･･･を切る)	tuye	tuye	tuye	tuye	tuye	tuwe	tuye	tuye	tuye	tuye			anca(カット),caca(カット)																																																					
to,be,cut	きれる	切れる		een,tuy	een	een,tuy	een	een	een	een	een,tuy	een,een(鋭い(するとい)、切れる、とがっている)	een,tuy	een,tuy	een,tuy	eenke	eenke	enke	eenke	enke	enkenoo,tuy	eenke	tuy																																																							
to,dig,(it)	ほる	掘る		ouri	ouri	ohori,ouri	ouri	ouri	ouri	ouri	ouri	ouri,ta(･･･を取る、採る、汲む、掘る)	ouri	ouri	ouri	ohori	poye	poye	poye	poye	poye	poye			i-poi(私は掘ります),ipoin(発掘),poqii(掘る)																																																					
to,wash,it	あらう	洗う		huraye	huraye	huraye	huraye	huraye	huraye	huraye	uraye	uraye,urae(を洗う),uraye(を洗う),uraypa(を洗う※)	uraye	uraye	uraye	huraye	huraye	huraye	huraye	huraye	huraye	huraye			kuray(洗う),yaykuray(体を洗う)				nanu-huraye《洗顔する》,sis-ćipi《洗顔する》																																																	
to,get,wet[drenched],wet	ぬれる	濡れる		teyne	teyne	teyne	teyne	teyne	teyne	teyne	teyne	teyne,upen(生の、ぬれている)	teyne	teyne	teyne	teyne	pehne	toyre	toyre	toyre	toyre	toyre			sashikene《濕》((M1892)),rikanuwa([彼は？]びしょ濡れになった),rikanicakuri(濡れている),rikanpe(濡れた)																																																					
to,dry,it	ほす	干す		satke		satke					satke	satke(･･･を干す、乾かす)	satke	satke	satke	satke					sahke		satke		an,satke(154),sateki(158),satsuteke《乾》((M1892)),satki《ドライ,》																																																					
to,dry,dry	かわく	乾く		sat	sat	sat	sat	sat	sat	sat	sat	sat,sat(乾く、乾いている),sattek(干せている、乾いている)	sat	sat	sat	sattek	sahteh	riwa	riwa,sahteh	sahteh	sahteh	sattek			satsuteke(乾)((M1892)),satki(ドライ,)																																																					
to,flow,to,stream,to,float,away	ながれる	流れる		mom	mom	mom	mom	mom	mom	mom	mom	mom,carase(流れる),carse(流れる),mom(流れる※)	mom	mom	mom	mom	moɴ	mom	moɴ	mom	mom	mom			peca(水が流れる)																																																					
to,tie,it	むすぶ	結ぶ		sina	ukohopitte	sina,eukopite	euwopitte	eukote	eukote	sinasina	ukopite	ukopitte,kokarkar(結う、絡ふ、巻く、包む、取繕ふ)	eukopite	eukote	eukote	uweusi	tasko(カナガク)	sina	sina	muye	muye	kotasko			xopiupu(結び目を締める),xopkar(結び目を締める)																																																					
to,pierce,it,[to,stab,it]	つきさす	突き刺す		otke	otke	otke,ciw	otke,ciw	otke	otke	okke	ciw	ciw,acuy(刺す(さす)),cuy(･･･を刺す(さす)),isirikoopke(突きささる),kocuy(･･･を刺す),sirkootke(突きさす)	cuy	otke	otke,ciw	ciw	ciw	ciw	ciw	ciw	eciwkara	ciw			tatasi(突き刺す)																																																					
to,have,to,possess	もっている	持っている		kor		kor					kor	ani(･･･を持つ),anpa(･･･を持つ),kor(･･･を持つ、所有する、領有する、･･･の(所有を表わす)),korkur(持つ人、持主、所有者),korpe(持つもの、持つ人、持主、所有者)	kor	kor	kor	kor					koro		kor																																																							
besides,other,than,(anything),else	ほかに	他に		mosma		mosma					emosma	imosma-anpe《別の人》,mosmaan《ほかの》,oya《ほかの、よその、異なる》,oyakur《違う人》	mosma	mosma,emosma	mosma	emosmano					ahkari		mosma																																																							
other,different,:,This,will,not,do.,Bring,me,another,one.	ほかの	他の		oya	oya	mosma,oya	mosma,oya	mosma	mosma	oya	oya,mosma	oya,imosma-anpe(別の人),mosmaan(ほかの),oya(ほかの、よその、異なる),oyakur(違う人)	oya	oya,mosma	oya,mosma	oya	oya	oya	oya	oya	oya	oya																																																								
to,do,it	する	為る		ki		ki					ki	ki(･･･をする)	ki	ki	ki	ki					kii		ki		monrayki(する),tanpe,kar(する)																																																					
to,think,to,use,ones,brain	かんがえる	考える		yaykosiramsuye	yaykosiramsuye	yaykosiramse	yaykosiramsuye	yaykosiramsuye	yaykosiramsuye	sanniyo	yaykopepeker,yaykosanniyo	yaynu,kosiramusuypa(考えぬく),ramu(･･･を思う、考える),ramuan(思う),sanniyo((具体的に)考える、思う、計画する、算段する),siante(考える),yayesanniyo(自ら考える),yaykosanniyo(自ら考える)	yaykosanniyo,yaykosiramsuye	yaykopeker,yaynu	eyaykouwepeker	yaykopepeker	ipaakari	ipaakari	ipaakari	ipaakari	ipaakari	ipaakari			yaykukupikir(考える,),eramikarpari(考える,)									nupursurutar《僧|[考えて当たる者]》																																												
to,find,out,to,know,[facts,or,people]	しる	知る		eraman	eraman	eraman	eramuan,eraman	eramuan	eramuan	eramuan	eramuan	eramuan,amkir(･に覚えがある、･･･を知っている),eamkir(･･･に覚えがある、･･･を知っている),paste(･･･がわかる)	eramuan	eraman	eraman	eraman	waɴte	wante	wante	wante	wante	wante			[y]ecamkir(知っている),[y]enenamkir(あなた/彼は知っていますか？),korwatiewa(知っている),orowate(知っている)									sik《眼|[誠を知ることをする]》																																												
to,forget,it	わすれる	忘れる		oyra		oyra					oyra	ioyra(忘れる、もの忘れする),oyra(･･･を忘れる)	oyra,esaman	oyra	oyra	oyra					oyra		oyra,,koyayramu,《思い出せない》		koyrawa(忘れた),koyra(忘れた),koyrakun(忘れるよ),oyra(忘れる,)											esaman				esaman																																						
to,be,afraid,[scared],of,to,fear	こわがる	怖がる		sitoma	sitoma	sitoma	sitoma	sitoma	sitoma	sitoma	sitoma	sitoma,astoma(恐ろしい),isitoma(おそれる、こわがる),sitoma(･･･を恐れる)	sitoma	sitoma	sitoma	ohaynek	ohayne	ohayne,eyaytupare	ohayne,eyaytupare	ohayhayne	eohayohayneh	eohayne			korkipaxwa(怖いです)																																																					
mind,heart,soul	こころ	心		kewtum		ram,kewtum,yaynu,puri					kewtum	katcama(･･･の心、様子、行いのくせ、性癖),keytum(心、精神、根性),konram(心、胸),ram(心、精神、魂)	keytum,ram,sanpe,irenka	ramu《胸,心持》,kewtum《気分,根性》,sanpe《胸,気分》,puri《根性,くせ,性質》,irenka,《意向》	ram,《精神》,,kewtum,《心ばえ》,,yaynu,《考え》,,irenka,《意向》,puri《性質》	ramuhu,,kewtum,wen,《気持が悪い》					ramhu,kewtum《心根,体の具合》,rametohkoro《心が良い》		ram《考え》,kewtum《気分,根性》,sanpe《気持,気分》(本来《心臓》),sampe		iramkarubaru(146)				kentum(心),ram(心)					kirorowen《不快|[心持ちが悪い]》,kiroropirka《本腹|[心持ちが良い]》,sampe《心|[本案の物]》,yayru?《狂気|[自らの心の侭に]》																																												
